BTC,Date,Closing Price (USD)
BTC,11/26/2019,7141.069449
BTC,11/27/2019,7523.480673
BTC,11/28/2019,7390.207469
BTC,11/29/2019,7729.265939
BTC,11/30/2019,7542.235609
BTC,12/1/2019,7381.963008
BTC,12/2/2019,7333.43293
BTC,12/3/2019,7315.367765
BTC,12/4/2019,7213.733762
BTC,12/5/2019,7398.78705
BTC,12/6/2019,7511.880583
BTC,12/7/2019,7532.123513
BTC,12/8/2019,7550.2392
BTC,12/9/2019,7333.096043
BTC,12/10/2019,7239.762575
BTC,12/11/2019,7198.066677
BTC,12/12/2019,7190.272369
BTC,12/13/2019,7238.874323
BTC,12/14/2019,7087.024985
BTC,12/15/2019,7112.731476
BTC,12/16/2019,6883.496394
BTC,12/17/2019,6584.028843
BTC,12/18/2019,7424.0154
BTC,12/19/2019,7147.568324
BTC,12/20/2019,7139.933371
BTC,12/21/2019,7286.335081
BTC,12/22/2019,7236.986205
BTC,12/23/2019,7166.172379
BTC,12/24/2019,7235.62665
BTC,12/25/2019,7212.809395
BTC,12/26/2019,7183.706536
BTC,12/27/2019,7227.293712
BTC,12/28/2019,7311.560644
BTC,12/29/2019,7385.464848
BTC,12/30/2019,7251.276794
BTC,12/31/2019,7179.957819
BTC,1/1/2020,7174.744012
BTC,1/2/2020,6955.48758
BTC,1/3/2020,7291.219505
BTC,1/4/2020,7337.63667
BTC,1/5/2020,7347.433264
BTC,1/6/2020,7713.860754
BTC,1/7/2020,8039.603701
BTC,1/8/2020,8067.606369
BTC,1/9/2020,7808.701364
BTC,1/10/2020,8087.452885
BTC,1/11/2020,8078.993532
BTC,1/12/2020,8149.313717
BTC,1/13/2020,8116.961008
BTC,1/14/2020,8735.142439
BTC,1/15/2020,8843.675732
BTC,1/16/2020,8711.637578
BTC,1/17/2020,8925.299028
BTC,1/18/2020,8939.8643
BTC,1/19/2020,8638.18144
BTC,1/20/2020,8652.683763
BTC,1/21/2020,8708.786013
BTC,1/22/2020,8635.074357
BTC,1/23/2020,8384.088777
BTC,1/24/2020,8451.232296
BTC,1/25/2020,8347.567505
BTC,1/26/2020,8562.30747
BTC,1/27/2020,8881.962391
BTC,1/28/2020,9131.114988
BTC,1/29/2020,9320.978406
BTC,1/30/2020,9545.077957
BTC,1/31/2020,9388.880752
BTC,2/1/2020,9363.193383
BTC,2/2/2020,9385.260386
BTC,2/3/2020,9269.707035
BTC,2/4/2020,9177.894637
BTC,2/5/2020,9625.456637
BTC,2/6/2020,9681.377411
BTC,2/7/2020,9795.344066
BTC,2/8/2020,9927.778256
BTC,2/9/2020,10132.7065
BTC,2/10/2020,9838.900016
BTC,2/11/2020,10236.63515
BTC,2/12/2020,10364.92629
BTC,2/13/2020,10218.09974
BTC,2/14/2020,10367.528
BTC,2/15/2020,9926.353691
BTC,2/16/2020,9876.234963
BTC,2/17/2020,9636.624095
BTC,2/18/2020,10189.99598
BTC,2/19/2020,9701.037191
BTC,2/20/2020,9631.484946
BTC,2/21/2020,9670.858654
BTC,2/22/2020,9689.086743
BTC,2/23/2020,9919.551448
BTC,2/24/2020,9640.469505
BTC,2/25/2020,9392.869629
BTC,2/26/2020,8787.978363
BTC,2/27/2020,8784.995352
BTC,2/28/2020,8778.470511
BTC,2/29/2020,8639.591417
BTC,3/1/2020,8548.948322
BTC,3/2/2020,8923.044398
BTC,3/3/2020,8791.112058
BTC,3/4/2020,8756.961062
BTC,3/5/2020,9078.578777
BTC,3/6/2020,9126.636822
BTC,3/7/2020,8925.213488
BTC,3/8/2020,8166.313894
BTC,3/9/2020,7875.750875
BTC,3/10/2020,7959.228274
BTC,3/11/2020,7955.306284
BTC,3/12/2020,5800.208905
BTC,3/13/2020,5672.681201
BTC,3/14/2020,5304.149952
BTC,3/15/2020,5355.187374
BTC,3/16/2020,4944.702336
BTC,3/17/2020,5465.582594
BTC,3/18/2020,5363.822853
BTC,3/19/2020,6301.063404
BTC,3/20/2020,6185.279839
BTC,3/21/2020,6187.05375
BTC,3/22/2020,5884.340133
BTC,3/23/2020,6455.454688
BTC,3/24/2020,6784.318011
BTC,3/25/2020,6706.985089
BTC,3/26/2020,6721.495392
BTC,3/27/2020,6682.780049
BTC,3/28/2020,6229.488343
BTC,3/30/2020,5922.489835
BTC,3/31/2020,6483.739446
BTC,4/1/2020,6446.421347
BTC,4/2/2020,6537.336462
BTC,4/3/2020,6850.558712
BTC,4/4/2020,6776.370094
BTC,4/5/2020,6855.933264
BTC,4/6/2020,6805.362287
BTC,4/7/2020,7278.24397
BTC,4/8/2020,7175.667477
BTC,4/9/2020,7367.293398
BTC,4/10/2020,7321.816614
BTC,4/11/2020,6866.398189
BTC,4/12/2020,6873.848495
BTC,4/13/2020,7043.438864
BTC,4/14/2020,6889.863772
BTC,4/15/2020,6887.554908
BTC,4/16/2020,6718.79995
BTC,4/17/2020,7166.582817
BTC,4/18/2020,7065.082389
BTC,4/19/2020,7277.140586
BTC,4/20/2020,7185.870303
BTC,4/21/2020,6856.146435
BTC,4/22/2020,6904.475773
BTC,4/23/2020,7118.388748
BTC,4/24/2020,7562.032832
BTC,4/25/2020,7497.861764
BTC,4/26/2020,7542.303401
BTC,4/27/2020,7624.853786
BTC,4/28/2020,7776.507543
